id,mountain,site,state,measure,Year,site_year,name,period,PPT,SWE,Tmax,Tmin,Tmean,VPmean,TotalN,2D,3D,Arctic,Non-Arctic,Transitional,Non-Plant,Shrub
AlpGard-1-1983,AlpGard,T1,NH,line,1983,AlpGard-1983,Washington,1983-2003,2205.88,869.57,3.95309589,-4.505753425,-0.276328767,551.8012603,5.254,0.663333331,0.336666667,0.213333333,0.211666665,0.453333334,0.121666666,0.32
AlpGard-1-1989,AlpGard,T1,NH,line,1989,AlpGard-1989,Washington,1983-2003,1982.06,545.26,2.558328767,-6.040410959,-1.741041096,530.9876164,6.789,0.471666668,0.528333334,0.165000001,0.18,0.633333334,0.021666667,0.511666667
AlpGard-1-2000,AlpGard,T1,NH,line,2000,AlpGard-2000,Washington,1983-2003,2110.78,744.34,3.378027397,-5.034794521,-0.828383562,533.5528219,5.078,0.816759776,0.183240224,0.220856611,0.018249534,0.404841713,0.356052142,0.197020485
AlpGard-1-2009,AlpGard,T1,NH,line,2009,AlpGard-2009,Washington,2004-2024,1974.88,585.41,3.534684932,-5.375753425,-0.920534247,525.5191233,3.17,0.884718251,0.115281746,0.781071632,0.085313544,0.094113266,0.192482159,0.115281746
AlpGard-1-2017,AlpGard,T1,NH,line,2017,AlpGard-2017,Washington,2004-2024,2114.56,748.41,4.130493151,-4.322410959,-0.095958904,570.7359726,3.67,0.722315867,0.241320499,0.229021019,0.101485426,0.088375745,0.544754176,0.239999274
AlpGard-1-2024,AlpGard,T1,NH,line,2024,AlpGard-2024,Washington,2004-2024,2056.63,598.17,4.545678,-4.032756,-0.012657,580.477,2.262,0.972259357,0.026737968,0.394385026,0.011029411,0.517713904,0.075868984,0.026737968
AlpGard-2-1983,AlpGard,T2,NH,line,1983,AlpGard-1983,Washington,1983-2003,2205.88,869.57,3.95309589,-4.505753425,-0.276328767,551.8012603,5.254,0.615000002,0.385,0.185,0.238333334,0.496666667,0.080000001,0.380000001
AlpGard-2-1989,AlpGard,T2,NH,line,1989,AlpGard-1989,Washington,1983-2003,1982.06,545.26,2.558328767,-6.040410959,-1.741041096,530.9876164,6.789,0.508333336,0.491666667,0.061666667,0.303333335,0.551666667,0.083333334,0.470000001
AlpGard-2-2000,AlpGard,T2,NH,line,2000,AlpGard-2000,Washington,1983-2003,2110.78,744.34,3.378027397,-5.034794521,-0.828383562,533.5528219,5.078,0.372749655,0.629112542,0.495692085,0.071891644,0.055370229,0.378908239,0.638179402
AlpGard-2-2009,AlpGard,T2,NH,line,2009,AlpGard-2009,Washington,2004-2024,1974.88,585.41,3.534684932,-5.375753425,-0.920534247,525.5191233,3.17,0.828760332,0.165289256,0.30446281,0.059504132,0.294876034,0.335206612,0.165289256
AlpGard-2-2017,AlpGard,T2,NH,line,2017,AlpGard-2017,Washington,2004-2024,2114.56,748.41,4.130493151,-4.322410959,-0.095958904,570.7359726,3.67,0.526798887,0.47832508,0.240088653,0.09035752,0.252428914,0.36224888,0.469071066
AlpGard-2-2024,AlpGard,T2,NH,line,2024,AlpGard-2024,Washington,2004-2024,2056.63,598.17,4.545678,-4.032756,-0.012657,580.477,2.262,0.946858289,0.05381016,0.488302139,0.049131017,0.139705881,0.323529412,0.05381016
AlpGard-3-1983,AlpGard,T3,NH,line,1983,AlpGard-1983,Washington,1983-2003,2205.88,869.57,3.95309589,-4.505753425,-0.276328767,551.8012603,5.254,0.543333335,0.456666666,0.156666667,0.235000001,0.518333333,0.09,0.466666667
AlpGard-3-1989,AlpGard,T3,NH,line,1989,AlpGard-1989,Washington,1983-2003,1982.06,545.26,2.558328767,-6.040410959,-1.741041096,530.9876164,6.789,0.446495049,0.553504953,0.583244993,0.083019954,0.142353432,0.291381623,0.555096598
AlpGard-3-2000,AlpGard,T3,NH,line,2000,AlpGard-2000,Washington,1983-2003,2110.78,744.34,3.378027397,-5.034794521,-0.828383562,533.5528219,5.078,0.163521144,0.833472798,0.519090959,0.066927708,0.180024384,0.202641183,0.840680815
AlpGard-3-2009,AlpGard,T3,NH,line,2009,AlpGard-2009,Washington,2004-2024,1974.88,585.41,3.534684932,-5.375753425,-0.920534247,525.5191233,3.17,0.801028053,0.204591784,0.451648186,0.085397147,0.12646413,0.342110374,0.197543126
AlpGard-3-2017,AlpGard,T3,NH,line,2017,AlpGard-2017,Washington,2004-2024,2114.56,748.41,4.130493151,-4.322410959,-0.095958904,570.7359726,3.67,0.904991949,0.095008052,0.280193237,0.004830918,0.65378422,0.061191626,0.09178744
AlpGard-3-2024,AlpGard,T3,NH,line,2024,AlpGard-2024,Washington,2004-2024,2056.63,598.17,4.545678,-4.032756,-0.012657,580.477,2.262,0.890040106,0.114304813,0.249665776,0.02105615,0.570187164,0.163435829,0.114304813
MtLaf-1-1983,MtLaf,T1,NH,line,1983,MtLaf-1983,Lafayette,1983-2003,2111.59,709.4,5.27339726,-3.527506849,0.872945205,592.1689589,5.254,0.34,0.660000001,0.050000001,0.223333333,0.608333334,0.118333333,0.450000001
MtLaf-1-1989,MtLaf,T1,NH,line,1989,MtLaf-1989,Lafayette,1983-2003,1781.14,426.26,4.084136986,-5.006794521,-0.461328767,572.1946301,6.789,0.586666667,0.413333333,0.085,0.176666666,0.575000001,0.163333333,0.413333333
MtLaf-1-2000,MtLaf,T1,NH,line,2000,MtLaf-2000,Lafayette,1983-2003,2012.02,633.26,4.555890411,-4.48290411,0.036493151,555.8795616,5.078,0.466666666,0.533333334,0.101666666,0.293333333,0.528333335,0.076666666,0.538333334
MtLaf-1-2009,MtLaf,T1,NH,line,2009,MtLaf-2009,Lafayette,2004-2024,1737.6,438.08,4.753835616,-4.304410959,0.224712329,568.2285205,3.17,0.483333333,0.516666666,0.146666667,0.083333334,0.608333333,0.073333333,0.42
MtLaf-1-2017,MtLaf,T1,NH,line,2017,MtLaf-2017,Lafayette,2004-2024,1831.25,565.95,5.513753425,-3.481342466,1.016205479,598.9524658,3.67,0.301666667,0.698333334,0.076666667,0.156666667,0.786666667,0.085,0.341666667
MtLaf-1-2024,MtLaf,T1,NH,line,2024,MtLaf-2024,Lafayette,2004-2024,1856.37,498.46,5.843277,-3.013768,1.434587,606.4312,2.262,0.418333334,0.581666667,0.050000001,0.361666667,0.576666667,0.105,0.425
MtLaf-2-1983,MtLaf,T2,NH,line,1983,MtLaf-1983,Lafayette,1983-2003,2111.59,709.4,5.27339726,-3.527506849,0.872945205,592.1689589,5.254,0.323333332,0.676666666,0.036666666,0.273333333,0.621666666,0.068333333,0.464999999
MtLaf-2-1989,MtLaf,T2,NH,line,1989,MtLaf-1989,Lafayette,1983-2003,1781.14,426.26,4.084136986,-5.006794521,-0.461328767,572.1946301,6.789,0.59,0.409999999,0.103333333,0.165,0.528333333,0.203333333,0.409999999
MtLaf-2-2000,MtLaf,T2,NH,line,2000,MtLaf-2000,Lafayette,1983-2003,2012.02,633.26,4.555890411,-4.48290411,0.036493151,555.8795616,5.078,0.568333333,0.431666666,0.099999999,0.386666665,0.460000001,0.053333334,0.424999999
MtLaf-2-2009,MtLaf,T2,NH,line,2009,MtLaf-2009,Lafayette,2004-2024,1737.6,438.08,4.753835616,-4.304410959,0.224712329,568.2285205,3.17,0.428333334,0.571666667,0.121666667,0.103333333,0.743333333,0.051666667,0.368333333
MtLaf-2-2017,MtLaf,T2,NH,line,2017,MtLaf-2017,Lafayette,2004-2024,1831.25,565.95,5.513753425,-3.481342466,1.016205479,598.9524658,3.67,0.319999999,0.680000001,0.044999999,0.258333334,0.728333333,0.070000001,0.495
MtLaf-2-2024,MtLaf,T2,NH,line,2024,MtLaf-2024,Lafayette,2004-2024,1856.37,498.46,5.843277,-3.013768,1.434587,606.4312,2.262,0.311666667,0.688333334,0.046666667,0.418333334,0.540000001,0.051666666,0.515
MtLaf-3-1983,MtLaf,T3,NH,line,1983,MtLaf-1983,Lafayette,1983-2003,2111.59,709.4,5.27339726,-3.527506849,0.872945205,592.1689589,5.254,0.258333332,0.741666668,0.01,0.261666667,0.655000001,0.073333332,0.550000001
MtLaf-3-1989,MtLaf,T3,NH,line,1989,MtLaf-1989,Lafayette,1983-2003,1781.14,426.26,4.084136986,-5.006794521,-0.461328767,572.1946301,6.789,0.575000001,0.424999999,0.095,0.183333333,0.426666667,0.295,0.426666666
MtLaf-3-2000,MtLaf,T3,NH,line,2000,MtLaf-2000,Lafayette,1983-2003,2012.02,633.26,4.555890411,-4.48290411,0.036493151,555.8795616,5.078,0.271666666,0.728333333,0.088333334,0.108333333,0.749999999,0.053333333,0.443333333
MtLaf-3-2009,MtLaf,T3,NH,line,2009,MtLaf-2009,Lafayette,2004-2024,1737.6,438.08,4.753835616,-4.304410959,0.224712329,568.2285205,3.17,0.359999998,0.640000001,0.106666666,0.051666667,0.688333334,0.101666666,0.376666667
MtLaf-3-2017,MtLaf,T3,NH,line,2017,MtLaf-2017,Lafayette,2004-2024,1831.25,565.95,5.513753425,-3.481342466,1.016205479,598.9524658,3.67,0.361666666,0.638333334,0.076666666,0.268333333,0.628333334,0.036666666,0.47
MtLaf-3-2024,MtLaf,T3,NH,line,2024,MtLaf-2024,Lafayette,2004-2024,1856.37,498.46,5.843277,-3.013768,1.434587,606.4312,2.262,0.368333334,0.631666667,0.033333333,0.204999999,0.530000001,0.018333333,0.471666667
