range,mountain,group,variable,year,value
White Mountains,Lafayette,Stature,2D,1983,0.94
White Mountains,Lafayette,Stature,3D,1983,0.06
White Mountains,Lafayette,Group,Transitional,1983,0.62
White Mountains,Lafayette,Group,Substrate,1983,0.09
White Mountains,Lafayette,Group,Non-Arctic,1983,0
White Mountains,Lafayette,Group,Arctic,1983,0.28
White Mountains,Lafayette,Form,Tree,1983,0
White Mountains,Lafayette,Form,Shrub,1983,0.08
White Mountains,Lafayette,Form,Non-Plant,1983,0.15
White Mountains,Lafayette,Form,Moss,1983,0.05
White Mountains,Lafayette,Form,Lycophyte,1983,0
White Mountains,Lafayette,Form,Lichen,1983,0.22
White Mountains,Lafayette,Form,Graminoid,1983,0.49
White Mountains,Lafayette,Form,Forb,1983,0.01
White Mountains,Washington,Stature,2D,1983,0.68
White Mountains,Washington,Stature,3D,1983,0.32
White Mountains,Washington,Group,Transitional,1983,0.61
White Mountains,Washington,Group,Substrate,1983,0.1
White Mountains,Washington,Group,Non-Arctic,1983,0.05
White Mountains,Washington,Group,Arctic,1983,0.24
White Mountains,Washington,Form,Tree,1983,0.02
White Mountains,Washington,Form,Shrub,1983,0.1
White Mountains,Washington,Form,Non-Plant,1983,0.18
White Mountains,Washington,Form,Moss,1983,0.02
White Mountains,Washington,Form,Lycophyte,1983,0.01
White Mountains,Washington,Form,Lichen,1983,0.29
White Mountains,Washington,Form,Graminoid,1983,0.13
White Mountains,Washington,Form,Forb,1983,0.25
White Mountains,Lafayette,Stature,2D,1989,0.9
White Mountains,Lafayette,Stature,3D,1989,0.1
White Mountains,Lafayette,Group,Transitional,1989,0.65
White Mountains,Lafayette,Group,Substrate,1989,0.1
White Mountains,Lafayette,Group,Non-Arctic,1989,0
White Mountains,Lafayette,Group,Arctic,1989,0.25
White Mountains,Lafayette,Form,Tree,1989,0
White Mountains,Lafayette,Form,Shrub,1989,0.1
White Mountains,Lafayette,Form,Non-Plant,1989,0.3
White Mountains,Lafayette,Form,Moss,1989,0.07
White Mountains,Lafayette,Form,Lycophyte,1989,0
White Mountains,Lafayette,Form,Lichen,1989,0.24
White Mountains,Lafayette,Form,Graminoid,1989,0.28
White Mountains,Lafayette,Form,Forb,1989,0.01
White Mountains,Washington,Stature,2D,1989,0.66
White Mountains,Washington,Stature,3D,1989,0.34
White Mountains,Washington,Group,Transitional,1989,0.62
White Mountains,Washington,Group,Substrate,1989,0.11
White Mountains,Washington,Group,Non-Arctic,1989,0.05
White Mountains,Washington,Group,Arctic,1989,0.22
White Mountains,Washington,Form,Tree,1989,0
White Mountains,Washington,Form,Shrub,1989,0.18
White Mountains,Washington,Form,Non-Plant,1989,0.33
White Mountains,Washington,Form,Moss,1989,0.02
White Mountains,Washington,Form,Lycophyte,1989,0.01
White Mountains,Washington,Form,Lichen,1989,0.23
White Mountains,Washington,Form,Graminoid,1989,0.09
White Mountains,Washington,Form,Forb,1989,0.14
White Mountains,Lafayette,Stature,2D,2000,0.88
White Mountains,Lafayette,Stature,3D,2000,0.12
White Mountains,Lafayette,Group,Transitional,2000,0.7
White Mountains,Lafayette,Group,Substrate,2000,0.12
White Mountains,Lafayette,Group,Non-Arctic,2000,0
White Mountains,Lafayette,Group,Arctic,2000,0.17
White Mountains,Lafayette,Form,Tree,2000,0.01
White Mountains,Lafayette,Form,Shrub,2000,0.16
White Mountains,Lafayette,Form,Non-Plant,2000,0.25
White Mountains,Lafayette,Form,Moss,2000,0.07
White Mountains,Lafayette,Form,Lycophyte,2000,0
White Mountains,Lafayette,Form,Lichen,2000,0.18
White Mountains,Lafayette,Form,Graminoid,2000,0.31
White Mountains,Lafayette,Form,Forb,2000,0.02
White Mountains,Washington,Stature,2D,2000,0.64
White Mountains,Washington,Stature,3D,2000,0.36
White Mountains,Washington,Group,Transitional,2000,0.63
White Mountains,Washington,Group,Substrate,2000,0.13
White Mountains,Washington,Group,Non-Arctic,2000,0.04
White Mountains,Washington,Group,Arctic,2000,0.19
White Mountains,Washington,Form,Tree,2000,0.03
White Mountains,Washington,Form,Shrub,2000,0.38
White Mountains,Washington,Form,Non-Plant,2000,0.14
White Mountains,Washington,Form,Moss,2000,0.01
White Mountains,Washington,Form,Lycophyte,2000,0
White Mountains,Washington,Form,Lichen,2000,0.21
White Mountains,Washington,Form,Graminoid,2000,0.12
White Mountains,Washington,Form,Forb,2000,0.21
White Mountains,Lafayette,Stature,2D,2009,0.87
White Mountains,Lafayette,Stature,3D,2009,0.13
White Mountains,Lafayette,Group,Transitional,2009,0.73
White Mountains,Lafayette,Group,Substrate,2009,0.21
White Mountains,Lafayette,Group,Non-Arctic,2009,0
White Mountains,Lafayette,Group,Arctic,2009,0.05
White Mountains,Lafayette,Form,Tree,2009,0
White Mountains,Lafayette,Form,Shrub,2009,0.18
White Mountains,Lafayette,Form,Non-Plant,2009,0.34
White Mountains,Lafayette,Form,Moss,2009,0.08
White Mountains,Lafayette,Form,Lycophyte,2009,0
White Mountains,Lafayette,Form,Lichen,2009,0.19
White Mountains,Lafayette,Form,Graminoid,2009,0.19
White Mountains,Lafayette,Form,Forb,2009,0.02
White Mountains,Washington,Stature,2D,2009,0.55
White Mountains,Washington,Stature,3D,2009,0.45
White Mountains,Washington,Group,Transitional,2009,0.67
White Mountains,Washington,Group,Substrate,2009,0.08
White Mountains,Washington,Group,Non-Arctic,2009,0.03
White Mountains,Washington,Group,Arctic,2009,0.22
White Mountains,Washington,Form,Tree,2009,0.03
White Mountains,Washington,Form,Shrub,2009,0.37
White Mountains,Washington,Form,Non-Plant,2009,0.15
White Mountains,Washington,Form,Moss,2009,0.01
White Mountains,Washington,Form,Lycophyte,2009,0.01
White Mountains,Washington,Form,Lichen,2009,0.27
White Mountains,Washington,Form,Graminoid,2009,0.07
White Mountains,Washington,Form,Forb,2009,0.23
White Mountains,Lafayette,Stature,2D,2017,0.76
White Mountains,Lafayette,Stature,3D,2017,0.24
White Mountains,Lafayette,Group,Transitional,2017,0.84
White Mountains,Lafayette,Group,Substrate,2017,0.12
White Mountains,Lafayette,Group,Non-Arctic,2017,0
White Mountains,Lafayette,Group,Arctic,2017,0.04
White Mountains,Lafayette,Form,Tree,2017,0.01
White Mountains,Lafayette,Form,Shrub,2017,0.32
White Mountains,Lafayette,Form,Non-Plant,2017,0.22
White Mountains,Lafayette,Form,Moss,2017,0.06
White Mountains,Lafayette,Form,Lycophyte,2017,0
White Mountains,Lafayette,Form,Lichen,2017,0.34
White Mountains,Lafayette,Form,Graminoid,2017,0.15
White Mountains,Lafayette,Form,Forb,2017,0.01
White Mountains,Washington,Stature,2D,2017,0.57
White Mountains,Washington,Stature,3D,2017,0.43
White Mountains,Washington,Group,Transitional,2017,0.7
White Mountains,Washington,Group,Substrate,2017,0.09
White Mountains,Washington,Group,Non-Arctic,2017,0.02
White Mountains,Washington,Group,Arctic,2017,0.2
White Mountains,Washington,Form,Tree,2017,0.05
White Mountains,Washington,Form,Shrub,2017,0.38
White Mountains,Washington,Form,Non-Plant,2017,0.14
White Mountains,Washington,Form,Moss,2017,0
White Mountains,Washington,Form,Lycophyte,2017,0
White Mountains,Washington,Form,Lichen,2017,0.2
White Mountains,Washington,Form,Graminoid,2017,0.03
White Mountains,Washington,Form,Forb,2017,0.2
White Mountains,Lafayette,Stature,2D,2024,0.7
White Mountains,Lafayette,Stature,3D,2024,0.3
White Mountains,Lafayette,Group,Transitional,2024,0.86
White Mountains,Lafayette,Group,Substrate,2024,0.05
White Mountains,Lafayette,Group,Non-Arctic,2024,0
White Mountains,Lafayette,Group,Arctic,2024,0.09
White Mountains,Lafayette,Form,Tree,2024,0.01
White Mountains,Lafayette,Form,Shrub,2024,0.4
White Mountains,Lafayette,Form,Non-Plant,2024,0.05
White Mountains,Lafayette,Form,Moss,2024,0.01
White Mountains,Lafayette,Form,Lycophyte,2024,0
White Mountains,Lafayette,Form,Lichen,2024,0.13
White Mountains,Lafayette,Form,Graminoid,2024,0.4
White Mountains,Lafayette,Form,Forb,2024,0.01
White Mountains,Washington,Stature,2D,2024,0.54
White Mountains,Washington,Stature,3D,2024,0.46
White Mountains,Washington,Group,Transitional,2024,0.75
White Mountains,Washington,Group,Substrate,2024,0.03
White Mountains,Washington,Group,Non-Arctic,2024,0.1
White Mountains,Washington,Group,Arctic,2024,0.13
White Mountains,Washington,Form,Tree,2024,0.01
White Mountains,Washington,Form,Shrub,2024,0.48
White Mountains,Washington,Form,Non-Plant,2024,0.03
White Mountains,Washington,Form,Moss,2024,0.01
White Mountains,Washington,Form,Lycophyte,2024,0.01
White Mountains,Washington,Form,Lichen,2024,0.14
White Mountains,Washington,Form,Graminoid,2024,0.2
White Mountains,Washington,Form,Forb,2024,0.14
